# CSR-1 22G-RNA targets,,,,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,,,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,,,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,,,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell,,,
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5,,,
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1,,,
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1,,,
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1,,,
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1,,,
# Maternal and zygotic,> 1TPM,log2FC > 0.5,,,,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5,,,
# all in 1-Cell,> 1TPM,,,,,
CSR-1 Targets Adults > 150 RPM (333),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00010627,,,,WBGene00010627,WBGene00010627,History: N.A.
WBGene00010785,,,,WBGene00010785,WBGene00010785,History: Renamed on 2015-07-16
WBGene00010787,,,,WBGene00010787,WBGene00010787,History: N.A.
WBGene00010844,,,,WBGene00010844,WBGene00010844,History: N.A.
WBGene00010912,,,,WBGene00010912,WBGene00010912,History: N.A.
WBGene00011043,,,,WBGene00011043,WBGene00011043,History: N.A.
WBGene00011047,,,,WBGene00011047,WBGene00011047,History: Renamed on 2021-04-19
WBGene00011061,,,,WBGene00011061,WBGene00011061,History: N.A.
WBGene00011146,,,,WBGene00011146,WBGene00011146,History: N.A.
WBGene00011240,,,,WBGene00011240,WBGene00011240,History: N.A.
WBGene00011282,,,,WBGene00011282,WBGene00011282,History: N.A.
WBGene00011333,,,,WBGene00011333,WBGene00011333,History: N.A.
WBGene00011338,,,,WBGene00011338,WBGene00011338,History: N.A.
WBGene00011507,,,,WBGene00011507,WBGene00011507,History: N.A.
WBGene00011560,,,,WBGene00011560,WBGene00011560,History: N.A.
WBGene00011562,,,,WBGene00011562,WBGene00011562,"History: Split into ""WBGene00044098"" on 2005-02-03"
WBGene00011638,,,,WBGene00011638,WBGene00011638,History: N.A.
WBGene00011729,,,,WBGene00011729,WBGene00011729,History: Renamed on 2007-05-03
WBGene00011819,,,,WBGene00011819,WBGene00011819,History: N.A.
WBGene00011959,,,,WBGene00011959,WBGene00011959,History: N.A.
WBGene00012148,,,,WBGene00012148,WBGene00012148,History: N.A.
WBGene00012360,,,,WBGene00012360,WBGene00012360,History: N.A.
WBGene00012471,,,,WBGene00012471,WBGene00012471,History: N.A.
WBGene00012474,,,,WBGene00012474,WBGene00012474,History: N.A.
WBGene00012484,,,,WBGene00012484,WBGene00012484,History: Renamed on 2005-12-05
WBGene00012524,,,,WBGene00012524,WBGene00012524,History: N.A.
WBGene00012543,,,,WBGene00012543,WBGene00012543,History: N.A.
