# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
total in 1-cell (7033),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000812,,,,WBGene00000812,WBGene00000812,History: N.A.
WBGene00000813,,,,WBGene00000813,WBGene00000813,History: N.A.
WBGene00000814,,,,WBGene00000814,WBGene00000814,History: N.A.
WBGene00000815,,,,WBGene00000815,WBGene00000815,History: N.A.
WBGene00000816,,,,WBGene00000816,WBGene00000816,History: N.A.
WBGene00000817,,,,WBGene00000817,WBGene00000817,History: N.A.
WBGene00000818,,,,WBGene00000818,WBGene00000818,History: N.A.
WBGene00000829,,,,WBGene00000829,WBGene00000829,History: N.A.
WBGene00000830,,,,WBGene00000830,WBGene00000830,History: N.A.
WBGene00000831,,,,WBGene00000831,WBGene00000831,History: N.A.
WBGene00000832,,,,WBGene00000832,WBGene00000832,History: N.A.
WBGene00000833,,,,WBGene00000833,WBGene00000833,History: N.A.
WBGene00000834,,,,WBGene00000834,WBGene00000834,History: N.A.
WBGene00000835,,,,WBGene00000835,WBGene00000835,History: N.A.
WBGene00000836,,,,WBGene00000836,WBGene00000836,History: N.A.
WBGene00000837,,,,WBGene00000837,WBGene00000837,History: Renamed on 2013-05-02
WBGene00000838,,,,WBGene00000838,WBGene00000838,History: N.A.
WBGene00000839,,,,WBGene00000839,WBGene00000839,History: N.A.
WBGene00000840,,,,WBGene00000840,WBGene00000840,History: N.A.
WBGene00000843,,,,WBGene00000843,WBGene00000843,History: Renamed on 2005-08-18; Renamed on 2013-11-18
WBGene00000846,,,,WBGene00000846,WBGene00000846,History: N.A.
WBGene00000854,,,,WBGene00000854,WBGene00000854,History: N.A.
WBGene00000857,,,,WBGene00000857,WBGene00000857,History: N.A.
WBGene00000863,,,,WBGene00000863,WBGene00000863,History: N.A.
WBGene00000865,,,,WBGene00000865,WBGene00000865,History: N.A.
WBGene00000866,,,,WBGene00000866,WBGene00000866,History: N.A.
WBGene00000867,,,,WBGene00000867,WBGene00000867,History: N.A.
WBGene00000868,,,,WBGene00000868,WBGene00000868,History: N.A.
WBGene00000869,,,,WBGene00000869,WBGene00000869,History: N.A.
WBGene00000870,,,,WBGene00000870,WBGene00000870,History: N.A.
WBGene00000871,,,,WBGene00000871,WBGene00000871,History: Renamed on 2015-03-05
WBGene00000872,,,,WBGene00000872,WBGene00000872,History: N.A.
WBGene00000874,,,,WBGene00000874,WBGene00000874,History: N.A.
WBGene00000875,,,,WBGene00000875,WBGene00000875,History: N.A.
WBGene00000876,,,,WBGene00000876,WBGene00000876,History: N.A.
WBGene00000877,,,,WBGene00000877,WBGene00000877,History: N.A.
WBGene00000879,,,,WBGene00000879,WBGene00000879,History: N.A.
WBGene00000880,,,,WBGene00000880,WBGene00000880,History: N.A.
WBGene00000881,,,,WBGene00000881,WBGene00000881,History: N.A.
WBGene00000882,,,,WBGene00000882,WBGene00000882,History: N.A.
WBGene00000883,,,,WBGene00000883,WBGene00000883,History: N.A.
WBGene00000884,,,,WBGene00000884,WBGene00000884,History: N.A.
WBGene00000885,,,,WBGene00000885,WBGene00000885,History: N.A.
WBGene00000886,,,,WBGene00000886,WBGene00000886,History: N.A.
WBGene00000887,,,,WBGene00000887,WBGene00000887,History: N.A.
WBGene00000888,,,,WBGene00000888,WBGene00000888,History: N.A.
WBGene00000889,,,,WBGene00000889,WBGene00000889,History: N.A.
WBGene00000890,,,,WBGene00000890,WBGene00000890,History: Renamed on 2006-01-05
WBGene00000891,,,,WBGene00000891,WBGene00000891,History: N.A.
WBGene00000892,,,,WBGene00000892,WBGene00000892,History: N.A.
WBGene00000894,,,,WBGene00000894,WBGene00000894,History: N.A.
WBGene00000896,,,,WBGene00000896,WBGene00000896,History: N.A.
WBGene00000897,,,,WBGene00000897,WBGene00000897,History: N.A.
WBGene00000898,,,,WBGene00000898,WBGene00000898,History: N.A.
WBGene00000899,,,,WBGene00000899,WBGene00000899,History: N.A.
WBGene00000900,,,,WBGene00000900,WBGene00000900,History: N.A.
WBGene00000901,,,,WBGene00000901,WBGene00000901,History: N.A.
WBGene00000904,,,,WBGene00000904,WBGene00000904,History: N.A.
WBGene00000910,,,,WBGene00000910,WBGene00000910,History: N.A.
WBGene00000911,,,,WBGene00000911,WBGene00000911,History: N.A.
WBGene00000912,,,,WBGene00000912,WBGene00000912,History: N.A.
WBGene00000913,,,,WBGene00000913,WBGene00000913,History: N.A.
