# Table S2: A full list of the 310 epigenetic and small RNA factors that were examined in this study and their regulation in HSF-1High and HSF-1Low worms.
...1,UP_in_HSF-1High,DOWN_in_HSF-1High,UP_in_HSF-1Low,DOWN_in_HSF-1Low,Input,Suggested Match,History
WBGene00007615,No,Yes,No,No,WBGene00007615,WBGene00007615,History: Renamed on 2007-05-03
WBGene00007624,No,Yes,Yes,No,WBGene00007624,WBGene00007624,History: Renamed on 2012-08-29
WBGene00007784,No,Yes,No,No,WBGene00007784,WBGene00007784,History: N.A.
WBGene00007785,No,No,No,No,WBGene00007785,WBGene00007785,History: N.A.
WBGene00008062,No,No,No,No,WBGene00008062,WBGene00008062,History: Renamed on 2007-05-03
WBGene00008145,No,No,Yes,No,WBGene00008145,WBGene00008145,History: N.A.
WBGene00008206,No,No,No,No,WBGene00008206,WBGene00008206,History: N.A.
WBGene00008367,No,No,No,No,WBGene00008367,WBGene00008367,History: N.A.
WBGene00008400,No,Yes,No,No,WBGene00008400,WBGene00008400,History: Renamed on 2005-11-22
WBGene00008434,No,No,No,No,WBGene00008434,WBGene00008434,"History: Split into D2089.8(WBGene00271706). History of WBGene00008434: Split into ""WBGene00271706"" on 2017-04-28"
WBGene00008455,No,No,No,No,WBGene00008455,WBGene00008455,History: N.A.
WBGene00008527,No,No,No,No,WBGene00008527,WBGene00008527,History: N.A.
WBGene00008995,No,No,No,Yes,WBGene00008995,WBGene00008995,History: N.A.
WBGene00009052,No,No,No,No,WBGene00009052,WBGene00009052,History: N.A.
WBGene00009159,No,Yes,No,No,WBGene00009159,WBGene00009159,History: N.A.
WBGene00009163,No,Yes,Yes,No,WBGene00009163,WBGene00009163,History: N.A.
WBGene00009370,No,No,No,No,WBGene00009370,WBGene00009370,History: N.A.
WBGene00009664,No,No,No,No,WBGene00009664,WBGene00009664,History: N.A.
WBGene00009666,No,No,No,No,WBGene00009666,WBGene00009666,History: N.A.
WBGene00009668,No,Yes,No,No,WBGene00009668,WBGene00009668,History: N.A.
