# Table S2. Genes depleted for 22G-RNAs in parn-1,prg-1,and parn-1; prg-1 double mutant animals,Related to Figure 6
# # ""FALSE"" indicates  fold change ≤ 2,NA,NA,NA
# # ""TRUE"" indicates  fold change > 2,NA,NA,NA
# #  Genes with Reads Per Million greater than 10 in wild-type were listed,NA,NA,NA
WormBaseID,Gene_symbol_1,Gene_symbol_2,wild-type vs. parn-1,wild-type vs .prg-1,wild-type vs. prg-1; parn-1,wild-type,parn-1,prg-1,prg-1; parn-1,Input,Suggested Match,History
WBGene00000409,cdk-8,F39H11.3,False,False,True,22.38845425,20.35283333,12.81973449,10.18312786,WBGene00000409,WBGene00000409,History: N.A.
WBGene00000410,cdk-9,H25P06.2,False,False,False,28.18787312,41.12968401,80.45488544,58.26586692,WBGene00000410,WBGene00000410,History: N.A.
WBGene00000411,cdl-1,R06F6.1,False,False,False,17.26338641,26.28907638,35.36478481,24.80701824,WBGene00000411,WBGene00000411,History: N.A.
WBGene00000413,cdt-1,Y54E10A.15,False,False,False,45.541173,64.43297148,124.2924833,90.62473362,WBGene00000413,WBGene00000413,History: N.A.
WBGene00000415,ced-1,Y47H9C.4,False,False,False,17.90860224,17.00730648,19.40907047,14.10410536,WBGene00000415,WBGene00000415,History: N.A.
WBGene00000416,ced-2,Y41D4B.13,False,False,False,12.94753981,12.08449479,14.44062046,11.96326111,WBGene00000416,WBGene00000416,History: N.A.
WBGene00000417,ced-3,C48D1.2,False,False,False,18.28233308,19.07768808,9.447296711,10.47872953,WBGene00000417,WBGene00000417,History: N.A.
WBGene00000418,ced-4,C35D10.9,False,False,False,33.98729199,42.71974912,86.70844265,57.45427929,WBGene00000418,WBGene00000418,History: N.A.
WBGene00000419,ced-5,C02F4.1,False,False,False,42.21437457,49.78872426,61.74102014,66.534873,WBGene00000419,WBGene00000419,History: N.A.
WBGene00000421,ced-7,C48B4.4,False,True,False,52.32964005,51.14709417,22.10299051,29.09465102,WBGene00000421,WBGene00000421,History: N.A.
WBGene00000423,ced-9,T07C4.8,False,False,False,11.59883774,14.62859895,25.44299796,25.07499529,WBGene00000423,WBGene00000423,History: N.A.
WBGene00000424,ced-10,C09G12.8,False,False,False,39.51697045,50.29905944,73.16089857,56.62088227,WBGene00000424,WBGene00000424,History: N.A.
WBGene00000426,ced-12,Y106G6E.5,False,False,False,22.65819466,25.0170243,25.94608176,19.31986915,WBGene00000426,WBGene00000426,History: N.A.
WBGene00000443,ceh-20,F31E3.1,True,False,True,329.487914,56.81832637,1835.609155,24.42419389,WBGene00000443,WBGene00000443,History: N.A.
WBGene00000459,ceh-38,F22D3.1,False,False,False,24.00689672,21.01914632,23.57652321,16.99740139,WBGene00000459,WBGene00000459,History: N.A.
WBGene00000460,ceh-39,T26C11.7,True,True,True,42.61898519,7.420303817,1.4735327,2.296946134,WBGene00000460,WBGene00000460,History: N.A.
WBGene00000463,ceh-43,C28A5.4,False,False,False,18.61208847,92.47111947,105.5049413,296.9696134,WBGene00000463,WBGene00000463,History: Renamed on 2013-07-26
WBGene00000464,ceh-44,Y54F10AM.4,False,False,False,10.51987609,16.96069444,27.40770823,25.11327773,WBGene00000464,WBGene00000464,"History: Split into Y54F10AM.16(WBGene00306126). History of WBGene00000464: Split into ""WBGene00306126"" on 2022-01-04"
WBGene00000465,cpg-1,C07G2.1,True,False,False,63.92847779,31.58929339,64.83543882,37.51678685,WBGene00000465,WBGene00000465,History: Renamed on 2006-06-16; Renamed on 2008-01-14
WBGene00000466,cel-1,C03D6.3,False,False,False,26.18142528,31.55576294,41.62952205,55.81703619,WBGene00000466,WBGene00000466,History: N.A.
WBGene00000467,cep-1,F52B5.5,False,False,False,41.80976396,65.82869529,63.06719957,53.13602056,WBGene00000467,WBGene00000467,History: N.A.
WBGene00000469,ces-2,ZK909.4,True,True,True,41.67489375,20.77685069,0.0,0.0,WBGene00000469,WBGene00000469,History: N.A.
WBGene00000472,cey-1,F33A8.3,False,True,True,25.89507961,25.61771556,10.60943544,11.25503605,WBGene00000472,WBGene00000472,History: N.A.
WBGene00000473,cey-2,F46F11.2,False,False,False,22.65819466,31.37728471,43.91127447,33.38228381,WBGene00000473,WBGene00000473,History: N.A.
WBGene00000474,cey-3,M01E11.5,False,False,False,15.51007373,27.1371111,64.24602573,38.12930582,WBGene00000474,WBGene00000474,History: N.A.
WBGene00000479,cgh-1,C07H6.5,False,False,False,34.79651323,44.73383158,63.06719957,64.46762148,WBGene00000479,WBGene00000479,History: N.A.
WBGene00000480,cgp-1,Y38C9A.2,False,False,False,24.81611796,31.83663685,18.25334912,16.4699545,WBGene00000480,WBGene00000480,History: N.A.
WBGene00000496,chs-1,T25G3.2,False,False,False,45.72099994,50.42273117,52.75247067,44.03872178,WBGene00000496,WBGene00000496,History: N.A.
WBGene00000497,chs-2,F48A11.1,False,False,True,31.42475807,65.2229562,78.6866462,9.57060889,WBGene00000497,WBGene00000497,History: N.A.
WBGene00000498,chk-1,Y39H10A.7,False,False,False,23.06280528,34.55741492,45.53216044,47.50850253,WBGene00000498,WBGene00000498,History: N.A.
WBGene00000499,chk-2,Y60A3A.12,False,False,False,45.85587014,60.10446092,129.8182309,79.95286667,WBGene00000499,WBGene00000499,History: N.A.
WBGene00000500,chn-1,T09B4.10,False,True,True,38.84261942,34.20406712,15.71768214,18.60526368,WBGene00000500,WBGene00000500,History: N.A.
WBGene00000502,chp-1,Y110A7A.13,False,False,False,21.03975218,24.80501562,42.44214037,35.83235968,WBGene00000502,WBGene00000502,History: N.A.
WBGene00000506,cic-1,H14E04.5,False,False,False,11.86857816,13.35654687,10.02002236,14.82806337,WBGene00000506,WBGene00000506,History: N.A.
WBGene00000507,cit-1.1,F44B9.4,False,False,False,14.29624187,17.59672048,17.31400923,23.00774377,WBGene00000507,WBGene00000507,History: N.A.
WBGene00000508,cit-1.2,F44B9.3,False,False,False,95.44314933,151.3388631,360.6716873,197.2821512,WBGene00000508,WBGene00000508,History: N.A.
WBGene00000509,cka-1,C28D4.2,False,False,False,12.40805898,25.97106336,11.49355506,10.25969273,WBGene00000509,WBGene00000509,History: N.A.
WBGene00000514,ckb-4,F22F7.5,True,True,True,41.54002354,7.844321178,0.58941308,0.765648711,WBGene00000514,WBGene00000514,History: N.A.
WBGene00000517,cki-2,T05A6.2,False,False,False,18.88727818,37.89655164,75.66590416,57.2705236,WBGene00000517,WBGene00000517,History: N.A.
WBGene00000518,ckk-1,C05H8.1,False,False,False,293.4550906,313.2428254,249.2726151,421.2154403,WBGene00000518,WBGene00000518,History: N.A.
WBGene00000519,cku-70,Y47D3A.4,False,False,False,20.23053095,18.02073784,24.829026,21.14891884,WBGene00000519,WBGene00000519,History: N.A.
WBGene00000520,cku-80,R07E5.8,False,False,False,24.36655061,32.64933679,25.93417553,27.15500762,WBGene00000520,WBGene00000520,History: N.A.
WBGene00000530,clh-3,E04F6.11,False,False,False,10.25080496,17.17289523,19.74562472,17.22745225,WBGene00000530,WBGene00000530,History: N.A.
WBGene00000532,clh-5,C07H4.2,False,False,False,46.53022118,56.07629599,80.45488544,68.75525426,WBGene00000532,WBGene00000532,History: N.A.
WBGene00000533,clh-6,R07B7.1,False,False,False,22.11871383,28.40916318,12.37767468,14.39419577,WBGene00000533,WBGene00000533,History: Renamed on 2017-02-17
WBGene00000534,cpi-2,R01B10.1,True,True,True,27.37865188,6.890282116,9.430609282,4.670457138,WBGene00000534,WBGene00000534,History: Renamed on 2006-01-04
WBGene00000536,clk-1,ZC395.2,False,True,True,15.91468434,29.78721961,2.652358861,3.215724587,WBGene00000536,WBGene00000536,History: N.A.
WBGene00000537,clk-2,C07H6.6,False,False,False,16.72390558,18.9747769,21.07151761,13.7816768,WBGene00000537,WBGene00000537,History: N.A.
WBGene00000542,clp-1,C06G4.2,False,False,False,50.84606778,34.66341926,79.00591162,62.5534997,WBGene00000542,WBGene00000542,History: N.A.
WBGene00000543,clp-2,T04A8.16,False,False,False,91.8466105,142.3638289,82.22312468,62.40036996,WBGene00000543,WBGene00000543,History: N.A.
