# Table S2.  Heritable Dysregulated Genes upon Hypoxia Treatment
# Downregulated Genes in WT
Generation,Gene name,Input,Suggested Match,History
P0-F1,WBGene00001458,WBGene00001458,WBGene00001458,History: N.A.
P0-F1,WBGene00001434,WBGene00001434,WBGene00001434,History: N.A.
P0-F1,WBGene00021773,WBGene00021773,WBGene00021773,History: N.A.
P0-F1,WBGene00011166,WBGene00011166,WBGene00011166,History: N.A.
P0-F1,WBGene00003700,WBGene00003700,WBGene00003700,History: N.A.
P0-F1,WBGene00020530,WBGene00020530,WBGene00020530,History: N.A.
P0-F1,WBGene00011364,WBGene00011364,WBGene00011364,History: N.A.
P0-F1,WBGene00016923,WBGene00016923,WBGene00016923,History: N.A.
P0-F1,WBGene00010158,WBGene00010158,WBGene00010158,History: N.A.
P0-F1,WBGene00011137,WBGene00011137,WBGene00011137,History: N.A.
P0-F1,WBGene00008121,WBGene00008121,WBGene00008121,History: N.A.
P0-F1,WBGene00020010,WBGene00020010,WBGene00020010,History: N.A.
P0-F1,WBGene00015620,WBGene00015620,WBGene00015620,History: N.A.
P0-F1,WBGene00019311,WBGene00019311,WBGene00019311,History: N.A.
P0-F1,WBGene00008554,WBGene00008554,WBGene00008554,History: N.A.
P0-F1,WBGene00004321,WBGene00004321,WBGene00004321,History: Renamed on 2015-09-03
P0-F1,WBGene00007520,WBGene00007520,WBGene00007520,History: N.A.
P0-F1,WBGene00003889,WBGene00003889,WBGene00003889,History: N.A.
P0-F1,WBGene00001440,WBGene00001440,WBGene00001440,History: N.A.
P0-F1,WBGene00009700,WBGene00009700,WBGene00009700,History: N.A.
P0-F1,WBGene00022597,WBGene00022597,WBGene00022597,History: N.A.
P0-F1,WBGene00012424,WBGene00012424,WBGene00012424,History: N.A.
P0-F1,WBGene00018101,WBGene00018101,WBGene00018101,History: N.A.
P0-F1,WBGene00001086,WBGene00001086,WBGene00001086,History: N.A.
P0-F1,WBGene00007881,WBGene00007881,WBGene00007881,History: N.A.
P0-F1,WBGene00003142,WBGene00003142,WBGene00003142,History: Renamed on 2006-06-16
P0-F1,WBGene00009579,WBGene00009579,WBGene00009579,History: N.A.
P0-F1,WBGene00019108,WBGene00019108,WBGene00019108,History: N.A.
P0-F1,WBGene00003387,WBGene00003387,WBGene00003387,History: N.A.
P0-F1,WBGene00010374,WBGene00010374,WBGene00010374,History: N.A.
P0-F1,WBGene00013518,WBGene00013518,WBGene00013518,History: N.A.
P0-F1,WBGene00015507,WBGene00015507,WBGene00015507,History: N.A.
P0-F1,WBGene00008204,WBGene00008204,WBGene00008204,History: N.A.
P0-F1,WBGene00021152,WBGene00021152,WBGene00021152,History: N.A.
P0-F1,WBGene00017126,WBGene00017126,WBGene00017126,History: N.A.
P0-F1,WBGene00001803,WBGene00001803,WBGene00001803,History: Renamed on 2007-02-02
P0-F1,WBGene00010290,WBGene00010290,WBGene00010290,History: Renamed on 2021-01-02
