# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Maternal and zygotic (1958),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00001489,,,,WBGene00001489,WBGene00001489,History: N.A.
WBGene00001492,,,,WBGene00001492,WBGene00001492,History: Renamed on 2012-02-07
WBGene00001510,,,,WBGene00001510,WBGene00001510,History: N.A.
WBGene00001522,,,,WBGene00001522,WBGene00001522,History: N.A.
WBGene00001526,,,,WBGene00001526,WBGene00001526,History: N.A.
WBGene00001560,,,,WBGene00001560,WBGene00001560,History: N.A.
WBGene00001561,,,,WBGene00001561,WBGene00001561,History: N.A.
WBGene00001562,,,,WBGene00001562,WBGene00001562,History: N.A.
WBGene00001563,,,,WBGene00001563,WBGene00001563,History: N.A.
WBGene00001565,,,,WBGene00001565,WBGene00001565,History: N.A.
WBGene00001577,,,,WBGene00001577,WBGene00001577,History: N.A.
WBGene00001583,,,,WBGene00001583,WBGene00001583,History: N.A.
WBGene00001602,,,,WBGene00001602,WBGene00001602,History: N.A.
WBGene00001636,,,,WBGene00001636,WBGene00001636,History: Renamed on 2006-06-29
WBGene00001637,,,,WBGene00001637,WBGene00001637,History: N.A.
WBGene00001646,,,,WBGene00001646,WBGene00001646,History: N.A.
WBGene00001648,,,,WBGene00001648,WBGene00001648,History: Renamed on 2017-04-06
WBGene00001649,,,,WBGene00001649,WBGene00001649,History: N.A.
WBGene00001663,,,,WBGene00001663,WBGene00001663,History: N.A.
WBGene00001669,,,,WBGene00001669,WBGene00001669,History: N.A.
WBGene00001679,,,,WBGene00001679,WBGene00001679,"History: Split into F44E5.17(WBGene00303054). History of WBGene00001679: Split into ""WBGene00303054"" on 2018-03-02"
WBGene00001680,,,,WBGene00001680,WBGene00001680,History: Renamed on 2010-12-15
WBGene00001688,,,,WBGene00001688,WBGene00001688,History: N.A.
WBGene00001689,,,,WBGene00001689,WBGene00001689,History: N.A.
WBGene00001719,,,,WBGene00001719,WBGene00001719,History: N.A.
WBGene00001743,,,,WBGene00001743,WBGene00001743,History: N.A.
WBGene00001768,,,,WBGene00001768,WBGene00001768,History: N.A.
WBGene00001778,,,,WBGene00001778,WBGene00001778,History: N.A.
WBGene00001794,,,,WBGene00001794,WBGene00001794,History: N.A.
WBGene00001820,,,,WBGene00001820,WBGene00001820,History: N.A.
WBGene00001824,,,,WBGene00001824,WBGene00001824,History: N.A.
WBGene00001829,,,,WBGene00001829,WBGene00001829,History: N.A.
WBGene00001832,,,,WBGene00001832,WBGene00001832,History: Renamed on 2015-03-05
WBGene00001833,,,,WBGene00001833,WBGene00001833,History: Renamed on 2015-03-05; Renamed on 2015-03-05
WBGene00001840,,,,WBGene00001840,WBGene00001840,History: N.A.
WBGene00001842,,,,WBGene00001842,WBGene00001842,History: N.A.
WBGene00001844,,,,WBGene00001844,WBGene00001844,History: N.A.
WBGene00001851,,,,WBGene00001851,WBGene00001851,History: N.A.
WBGene00001853,,,,WBGene00001853,WBGene00001853,History: Renamed on 2010-11-12
WBGene00001875,,,,WBGene00001875,WBGene00001875,History: N.A.
WBGene00001876,,,,WBGene00001876,WBGene00001876,History: N.A.
WBGene00001877,,,,WBGene00001877,WBGene00001877,History: N.A.
WBGene00001878,,,,WBGene00001878,WBGene00001878,History: N.A.
WBGene00001879,,,,WBGene00001879,WBGene00001879,History: N.A.
WBGene00001880,,,,WBGene00001880,WBGene00001880,History: N.A.
WBGene00001881,,,,WBGene00001881,WBGene00001881,History: N.A.
WBGene00001882,,,,WBGene00001882,WBGene00001882,History: N.A.
WBGene00001883,,,,WBGene00001883,WBGene00001883,History: N.A.
WBGene00001884,,,,WBGene00001884,WBGene00001884,History: N.A.
WBGene00001885,,,,WBGene00001885,WBGene00001885,History: N.A.
WBGene00001886,,,,WBGene00001886,WBGene00001886,History: N.A.
WBGene00001887,,,,WBGene00001887,WBGene00001887,History: N.A.
WBGene00001888,,,,WBGene00001888,WBGene00001888,History: N.A.
WBGene00001889,,,,WBGene00001889,WBGene00001889,History: N.A.
WBGene00001890,,,,WBGene00001890,WBGene00001890,History: N.A.
WBGene00001891,,,,WBGene00001891,WBGene00001891,History: N.A.
WBGene00001892,,,,WBGene00001892,WBGene00001892,History: N.A.
WBGene00001893,,,,WBGene00001893,WBGene00001893,History: N.A.
WBGene00001894,,,,WBGene00001894,WBGene00001894,History: N.A.
WBGene00001895,,,,WBGene00001895,WBGene00001895,History: N.A.
WBGene00001896,,,,WBGene00001896,WBGene00001896,History: N.A.
WBGene00001899,,,,WBGene00001899,WBGene00001899,History: N.A.
WBGene00001900,,,,WBGene00001900,WBGene00001900,History: N.A.
WBGene00001901,,,,WBGene00001901,WBGene00001901,History: N.A.
WBGene00001902,,,,WBGene00001902,WBGene00001902,History: N.A.
WBGene00001903,,,,WBGene00001903,WBGene00001903,History: N.A.
WBGene00001904,,,,WBGene00001904,WBGene00001904,History: N.A.
WBGene00001905,,,,WBGene00001905,WBGene00001905,History: N.A.
WBGene00001906,,,,WBGene00001906,WBGene00001906,History: N.A.
WBGene00001907,,,,WBGene00001907,WBGene00001907,History: N.A.
WBGene00001908,,,,WBGene00001908,WBGene00001908,History: N.A.
WBGene00001910,,,,WBGene00001910,WBGene00001910,History: N.A.
WBGene00001911,,,,WBGene00001911,WBGene00001911,History: N.A.
WBGene00001913,,,,WBGene00001913,WBGene00001913,History: Renamed on 2008-01-18
WBGene00001914,,,,WBGene00001914,WBGene00001914,History: N.A.
WBGene00001915,,,,WBGene00001915,WBGene00001915,History: N.A.
WBGene00001916,,,,WBGene00001916,WBGene00001916,History: N.A.
WBGene00001917,,,,WBGene00001917,WBGene00001917,History: N.A.
WBGene00001918,,,,WBGene00001918,WBGene00001918,History: N.A.
WBGene00001923,,,,WBGene00001923,WBGene00001923,History: N.A.
WBGene00001924,,,,WBGene00001924,WBGene00001924,History: N.A.
WBGene00001925,,,,WBGene00001925,WBGene00001925,History: N.A.
WBGene00001926,,,,WBGene00001926,WBGene00001926,History: N.A.
WBGene00001927,,,,WBGene00001927,WBGene00001927,History: N.A.
