# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Late degraded (1572),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00003982,,,,WBGene00003982,WBGene00003982,History: N.A.
WBGene00004032,,,,WBGene00004032,WBGene00004032,History: Renamed on 2005-07-28
WBGene00004042,,,,WBGene00004042,WBGene00004042,History: N.A.
WBGene00004050,,,,WBGene00004050,WBGene00004050,History: Renamed on 2014-11-18
WBGene00004068,,,,WBGene00004068,WBGene00004068,History: N.A.
WBGene00004078,,,,WBGene00004078,WBGene00004078,History: N.A.
WBGene00004086,,,,WBGene00004086,WBGene00004086,History: N.A.
WBGene00004089,,,,WBGene00004089,WBGene00004089,History: N.A.
WBGene00004132,,,,WBGene00004132,WBGene00004132,History: Renamed on 2011-08-12; Renamed on 2011-08-12
WBGene00004136,,,,WBGene00004136,WBGene00004136,"History: Split into K11D12.14(WBGene00303069). History of WBGene00004136: Split into ""WBGene00303069"" on 2018-03-02"
WBGene00004147,,,,WBGene00004147,WBGene00004147,History: Renamed on 2006-12-05; Renamed on 2008-04-18
WBGene00004175,,,,WBGene00004175,WBGene00004175,History: N.A.
WBGene00004181,,,,WBGene00004181,WBGene00004181,History: N.A.
WBGene00004199,,,,WBGene00004199,WBGene00004199,History: N.A.
WBGene00004201,,,,WBGene00004201,WBGene00004201,History: N.A.
WBGene00004205,,,,WBGene00004205,WBGene00004205,History: N.A.
WBGene00004214,,,,WBGene00004214,WBGene00004214,History: N.A.
WBGene00004273,,,,WBGene00004273,WBGene00004273,History: Renamed on 2006-03-23
WBGene00004279,,,,WBGene00004279,WBGene00004279,History: N.A.
WBGene00004297,,,,WBGene00004297,WBGene00004297,History: N.A.
WBGene00004302,,,,WBGene00004302,WBGene00004302,History: N.A.
WBGene00004304,,,,WBGene00004304,WBGene00004304,History: N.A.
WBGene00004305,,,,WBGene00004305,WBGene00004305,History: N.A.
WBGene00004320,,,,WBGene00004320,WBGene00004320,History: N.A.
WBGene00004324,,,,WBGene00004324,WBGene00004324,History: N.A.
WBGene00004326,,,,WBGene00004326,WBGene00004326,History: N.A.
WBGene00004337,,,,WBGene00004337,WBGene00004337,History: N.A.
WBGene00004339,,,,WBGene00004339,WBGene00004339,History: N.A.
WBGene00004349,,,,WBGene00004349,WBGene00004349,History: N.A.
WBGene00004351,,,,WBGene00004351,WBGene00004351,History: N.A.
WBGene00004352,,,,WBGene00004352,WBGene00004352,History: N.A.
WBGene00004353,,,,WBGene00004353,WBGene00004353,History: N.A.
