# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE = 0 ± 0.1,Unnamed: 1,Input,Suggested Match,History
WBGene00010408,,WBGene00010408,WBGene00010408,History: N.A.
WBGene00012326,,WBGene00012326,WBGene00012326,History: N.A.
WBGene00007201,,WBGene00007201,WBGene00007201,History: N.A.
WBGene00004885,,WBGene00004885,WBGene00004885,History: N.A.
WBGene00008288,,WBGene00008288,WBGene00008288,History: N.A.
WBGene00016157,,WBGene00016157,WBGene00016157,History: N.A.
WBGene00016987,,WBGene00016987,WBGene00016987,History: N.A.
WBGene00015697,,WBGene00015697,WBGene00015697,History: N.A.
WBGene00014086,,WBGene00014086,WBGene00014086,History: N.A.
WBGene00008137,,WBGene00008137,WBGene00008137,History: N.A.
WBGene00009039,,WBGene00009039,WBGene00009039,History: N.A.
WBGene00021847,,WBGene00021847,WBGene00021847,History: N.A.
WBGene00007711,,WBGene00007711,WBGene00007711,History: N.A.
WBGene00010913,,WBGene00010913,WBGene00010913,History: N.A.
WBGene00013425,,WBGene00013425,WBGene00013425,History: N.A.
WBGene00009178,,WBGene00009178,WBGene00009178,History: N.A.
WBGene00003479,,WBGene00003479,WBGene00003479,History: N.A.
WBGene00016964,,WBGene00016964,WBGene00016964,History: N.A.
WBGene00005024,,WBGene00005024,WBGene00005024,History: N.A.
WBGene00012120,,WBGene00012120,WBGene00012120,History: N.A.
WBGene00008364,,WBGene00008364,WBGene00008364,History: N.A.
WBGene00007390,,WBGene00007390,WBGene00007390,History: N.A.
WBGene00011144,,WBGene00011144,WBGene00011144,History: N.A.
WBGene00021425,,WBGene00021425,WBGene00021425,History: N.A.
WBGene00009978,,WBGene00009978,WBGene00009978,History: N.A.
WBGene00009182,,WBGene00009182,WBGene00009182,"History: Split into dsb-2(WBGene00194892). History of WBGene00009182: Split into ""WBGene00194892"" on 2009-12-08"
WBGene00011731,,WBGene00011731,WBGene00011731,History: Split into T12D8.10(WBGene00023450). History of WBGene00011731: N.A.
WBGene00010075,,WBGene00010075,WBGene00010075,History: N.A.
WBGene00019726,,WBGene00019726,WBGene00019726,History: N.A.
WBGene00007269,,WBGene00007269,WBGene00007269,History: N.A.
WBGene00008281,,WBGene00008281,WBGene00008281,History: N.A.
WBGene00010839,,WBGene00010839,WBGene00010839,History: N.A.
WBGene00008766,,WBGene00008766,WBGene00008766,History: N.A.
WBGene00010418,,WBGene00010418,WBGene00010418,History: N.A.
WBGene00016621,,WBGene00016621,WBGene00016621,History: N.A.
WBGene00018131,,WBGene00018131,WBGene00018131,History: N.A.
WBGene00138720,,WBGene00138720,WBGene00138720,History: N.A.
WBGene00006805,,WBGene00006805,WBGene00006805,History: Renamed on 2015-03-04
WBGene00013934,,WBGene00013934,WBGene00013934,History: N.A.
WBGene00022748,,WBGene00022748,WBGene00022748,History: N.A.
WBGene00022102,,WBGene00022102,WBGene00022102,History: N.A.
WBGene00020095,,WBGene00020095,WBGene00020095,History: N.A.
WBGene00007043,,WBGene00007043,WBGene00007043,History: Renamed on 2018-11-12
WBGene00001937,,WBGene00001937,WBGene00001937,History: N.A.
WBGene00010615,,WBGene00010615,WBGene00010615,History: N.A.
WBGene00009956,,WBGene00009956,WBGene00009956,History: N.A.
WBGene00022056,,WBGene00022056,WBGene00022056,History: N.A.
WBGene00010366,,WBGene00010366,WBGene00010366,History: N.A.
WBGene00006059,,WBGene00006059,WBGene00006059,History: N.A.
WBGene00044614,,WBGene00044614,WBGene00044614,History: N.A.
WBGene00019459,,WBGene00019459,WBGene00019459,History: N.A.
WBGene00007301,,WBGene00007301,WBGene00007301,History: N.A.
WBGene00016843,,WBGene00016843,WBGene00016843,History: N.A.
WBGene00014230,,WBGene00014230,WBGene00014230,History: N.A.
WBGene00022818,,WBGene00022818,WBGene00022818,History: N.A.
WBGene00021795,,WBGene00021795,WBGene00021795,History: N.A.
WBGene00008854,,WBGene00008854,WBGene00008854,History: N.A.
WBGene00194703,,WBGene00194703,WBGene00194703,History: N.A.
WBGene00003010,,WBGene00003010,WBGene00003010,History: N.A.
WBGene00010915,,WBGene00010915,WBGene00010915,History: N.A.
WBGene00020350,,WBGene00020350,WBGene00020350,History: N.A.
WBGene00019127,,WBGene00019127,WBGene00019127,History: N.A.
WBGene00016735,,WBGene00016735,WBGene00016735,History: N.A.
WBGene00022702,,WBGene00022702,WBGene00022702,History: N.A.
WBGene00008272,,WBGene00008272,WBGene00008272,History: N.A.
WBGene00045247,,WBGene00045247,WBGene00045247,History: N.A.
WBGene00020841,,WBGene00020841,WBGene00020841,History: N.A.
WBGene00004308,,WBGene00004308,WBGene00004308,History: N.A.
WBGene00012115,,WBGene00012115,WBGene00012115,History: N.A.
WBGene00016890,,WBGene00016890,WBGene00016890,History: N.A.
WBGene00004496,,WBGene00004496,WBGene00004496,History: N.A.
WBGene00194906,,WBGene00194906,WBGene00194906,History: N.A.
WBGene00000001,,WBGene00000001,WBGene00000001,History: N.A.
