# Supplementary Data 1: Gene lists generated and used in this study and associated TPM values.,,,
# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
zygotic (704),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00008782,,,,WBGene00008782,WBGene00008782,History: N.A.
WBGene00008783,,,,WBGene00008783,WBGene00008783,History: N.A.
WBGene00008803,,,,WBGene00008803,WBGene00008803,History: N.A.
WBGene00008847,,,,WBGene00008847,WBGene00008847,History: N.A.
WBGene00008978,,,,WBGene00008978,WBGene00008978,History: N.A.
WBGene00009015,,,,WBGene00009015,WBGene00009015,History: N.A.
WBGene00009048,,,,WBGene00009048,WBGene00009048,History: N.A.
WBGene00009089,,,,WBGene00009089,WBGene00009089,History: N.A.
WBGene00009297,,,,WBGene00009297,WBGene00009297,History: N.A.
WBGene00009304,,,,WBGene00009304,WBGene00009304,History: Renamed on 2007-10-09
WBGene00009371,,,,WBGene00009371,WBGene00009371,History: N.A.
WBGene00009410,,,,WBGene00009410,WBGene00009410,History: N.A.
WBGene00009415,,,,WBGene00009415,WBGene00009415,History: N.A.
WBGene00009509,,,,WBGene00009509,WBGene00009509,History: N.A.
WBGene00009514,,,,WBGene00009514,WBGene00009514,History: N.A.
WBGene00009544,,,,WBGene00009544,WBGene00009544,History: N.A.
WBGene00009546,,,,WBGene00009546,WBGene00009546,History: N.A.
WBGene00009560,,,,WBGene00009560,WBGene00009560,History: N.A.
WBGene00009657,,,,WBGene00009657,WBGene00009657,History: N.A.
WBGene00009658,,,,WBGene00009658,WBGene00009658,History: N.A.
WBGene00009691,,,,WBGene00009691,WBGene00009691,History: N.A.
WBGene00009692,,,,WBGene00009692,WBGene00009692,History: N.A.
