# Table S2.  Heritable Dysregulated Genes upon Hypoxia Treatment
# Heritable Downregulated Genes Only in WT but Not in hrde-1 Mutant
Regulation Direction,Gene name,Input,Suggested Match,History
Transgenerational downregulated,WBGene00016539,WBGene00016539,WBGene00016539,History: Renamed on 2010-04-30; Renamed on 2011-03-03; Renamed on 2011-03-24; Renamed on 2014-04-28
Transgenerational downregulated,WBGene00011345,WBGene00011345,WBGene00011345,History: N.A.
Transgenerational downregulated,WBGene00019855,WBGene00019855,WBGene00019855,History: N.A.
Transgenerational downregulated,WBGene00021505,WBGene00021505,WBGene00021505,History: N.A.
Transgenerational downregulated,WBGene00017755,WBGene00017755,WBGene00017755,History: N.A.
Transgenerational downregulated,WBGene00022349,WBGene00022349,WBGene00022349,History: N.A.
Transgenerational downregulated,WBGene00007899,WBGene00007899,WBGene00007899,History: N.A.
Transgenerational downregulated,WBGene00013543,WBGene00013543,WBGene00013543,History: N.A.
Transgenerational downregulated,WBGene00017309,WBGene00017309,WBGene00017309,History: N.A.
Transgenerational downregulated,WBGene00020194,WBGene00020194,WBGene00020194,History: N.A.
Transgenerational downregulated,WBGene00013418,WBGene00013418,WBGene00013418,History: N.A.
Transgenerational downregulated,WBGene00011868,WBGene00011868,WBGene00011868,History: N.A.
Transgenerational downregulated,WBGene00015220,WBGene00015220,WBGene00015220,History: N.A.
Transgenerational downregulated,WBGene00009089,WBGene00009089,WBGene00009089,History: N.A.
Transgenerational downregulated,WBGene00022538,WBGene00022538,WBGene00022538,History: N.A.
Transgenerational downregulated,WBGene00012899,WBGene00012899,WBGene00012899,History: N.A.
Transgenerational downregulated,WBGene00016080,WBGene00016080,WBGene00016080,History: N.A.
Transgenerational downregulated,WBGene00011977,WBGene00011977,WBGene00011977,History: N.A.
Transgenerational downregulated,WBGene00011850,WBGene00011850,WBGene00011850,History: N.A.
Transgenerational downregulated,WBGene00017483,WBGene00017483,WBGene00017483,History: N.A.
Transgenerational downregulated,WBGene00019591,WBGene00019591,WBGene00019591,History: N.A.
Transgenerational downregulated,WBGene00011495,WBGene00011495,WBGene00011495,History: N.A.
Transgenerational downregulated,WBGene00017423,WBGene00017423,WBGene00017423,History: N.A.
Transgenerational downregulated,WBGene00011995,WBGene00011995,WBGene00011995,History: Renamed on 2013-01-22
Transgenerational downregulated,WBGene00000425,WBGene00000425,WBGene00000425,History: N.A.
Transgenerational downregulated,WBGene00001076,WBGene00001076,WBGene00001076,History: N.A.
Transgenerational downregulated,WBGene00009156,WBGene00009156,WBGene00009156,History: N.A.
Transgenerational downregulated,WBGene00013900,WBGene00013900,WBGene00013900,History: N.A.
Transgenerational downregulated,WBGene00001377,WBGene00001377,WBGene00001377,History: N.A.
Transgenerational downregulated,WBGene00017028,WBGene00017028,WBGene00017028,History: N.A.
Transgenerational downregulated,WBGene00020368,WBGene00020368,WBGene00020368,History: N.A.
Transgenerational downregulated,WBGene00021576,WBGene00021576,WBGene00021576,History: N.A.
Transgenerational downregulated,WBGene00012398,WBGene00012398,WBGene00012398,History: N.A.
Transgenerational downregulated,WBGene00000220,WBGene00000220,WBGene00000220,History: N.A.
Transgenerational downregulated,WBGene00000453,WBGene00000453,WBGene00000453,History: N.A.
Transgenerational downregulated,WBGene00000992,WBGene00000992,WBGene00000992,History: N.A.
Transgenerational downregulated,WBGene00019310,WBGene00019310,WBGene00019310,History: N.A.
Transgenerational downregulated,WBGene00013849,WBGene00013849,WBGene00013849,History: N.A.
Transgenerational downregulated,WBGene00003890,WBGene00003890,WBGene00003890,History: N.A.
Transgenerational downregulated,WBGene00009692,WBGene00009692,WBGene00009692,History: N.A.
Transgenerational downregulated,WBGene00017571,WBGene00017571,WBGene00017571,History: Renamed on 2016-08-08
Transgenerational downregulated,WBGene00021463,WBGene00021463,WBGene00021463,History: N.A.
Transgenerational downregulated,WBGene00000516,WBGene00000516,WBGene00000516,History: N.A.
Transgenerational downregulated,WBGene00003675,WBGene00003675,WBGene00003675,History: N.A.
Transgenerational downregulated,WBGene00006752,WBGene00006752,WBGene00006752,History: N.A.
Transgenerational downregulated,WBGene00021587,WBGene00021587,WBGene00021587,History: N.A.
Transgenerational downregulated,WBGene00001006,WBGene00001006,WBGene00001006,History: N.A.
Transgenerational downregulated,WBGene00006321,WBGene00006321,WBGene00006321,History: N.A.
Transgenerational downregulated,WBGene00006853,WBGene00006853,WBGene00006853,History: N.A.
Transgenerational downregulated,WBGene00006742,WBGene00006742,WBGene00006742,History: N.A.
Transgenerational downregulated,WBGene00006424,WBGene00006424,WBGene00006424,History: Renamed on 2006-10-16
Transgenerational downregulated,WBGene00001410,WBGene00001410,WBGene00001410,History: N.A.
Transgenerational downregulated,WBGene00003516,WBGene00003516,WBGene00003516,History: N.A.
Transgenerational downregulated,WBGene00019279,WBGene00019279,WBGene00019279,History: N.A.
Transgenerational downregulated,WBGene00016841,WBGene00016841,WBGene00016841,History: N.A.
Transgenerational downregulated,WBGene00001820,WBGene00001820,WBGene00001820,History: N.A.
