# Note: In the following rows commas have been replaced with semicolons to work better with r
# In order to determine H3K9me2 marked genes; we employed published H3K9me2 ChIP-seq dataset SRX495107 (Gerstein et al.; 2010)
# and performed peak calling analysis using MACS (Lupien et al.; 2008). We then defined H3K9me2 marked genes as genes for which
# a significant H3K9me2 peak (FDR Qvalue < 0.1) overlaps the 1;000 bp centered around their TSS.
WBGene Name,Input,Suggested Match,History
WBGene00000898,WBGene00000898,WBGene00000898,History: N.A.
WBGene00000900,WBGene00000900,WBGene00000900,History: N.A.
WBGene00000901,WBGene00000901,WBGene00000901,History: N.A.
WBGene00000903,WBGene00000903,WBGene00000903,History: N.A.
WBGene00000905,WBGene00000905,WBGene00000905,History: Renamed on 2004-09-21
WBGene00000912,WBGene00000912,WBGene00000912,History: N.A.
WBGene00000914,WBGene00000914,WBGene00000914,History: N.A.
WBGene00000920,WBGene00000920,WBGene00000920,History: N.A.
WBGene00000928,WBGene00000928,WBGene00000928,History: N.A.
WBGene00000929,WBGene00000929,WBGene00000929,History: N.A.
WBGene00000933,WBGene00000933,WBGene00000933,History: Renamed on 2018-06-07
WBGene00000934,WBGene00000934,WBGene00000934,History: N.A.
WBGene00000936,WBGene00000936,WBGene00000936,History: N.A.
WBGene00000940,WBGene00000940,WBGene00000940,History: Renamed on 2005-12-19
WBGene00000942,WBGene00000942,WBGene00000942,History: N.A.
WBGene00000958,WBGene00000958,WBGene00000958,"History: Split into C09E10.3(WBGene00303038). History of WBGene00000958: Split into ""WBGene00303038"" on 2018-03-02"
WBGene00000961,WBGene00000961,WBGene00000961,History: N.A.
WBGene00000973,WBGene00000973,WBGene00000973,History: N.A.
WBGene00000974,WBGene00000974,WBGene00000974,History: N.A.
WBGene00000975,WBGene00000975,WBGene00000975,History: N.A.
WBGene00000977,WBGene00000977,WBGene00000977,History: N.A.
WBGene00000987,WBGene00000987,WBGene00000987,History: N.A.
WBGene00001000,WBGene00001000,WBGene00001000,History: N.A.
WBGene00001006,WBGene00001006,WBGene00001006,History: N.A.
WBGene00001008,WBGene00001008,WBGene00001008,History: N.A.
