gene,Input,Suggested Match,History
WBGene00005833,WBGene00005833,WBGene00005833,"History: Split into C25F9.13(WBGene00045413). History of WBGene00005833: Split into ""WBGene00045413"" on 2007-05-03"
WBGene00012681,WBGene00012681,WBGene00012681,History: N.A.
WBGene00012618,WBGene00012618,WBGene00012618,History: N.A.
WBGene00010654,WBGene00010654,WBGene00010654,History: N.A.
WBGene00011486,WBGene00011486,WBGene00011486,History: N.A.
WBGene00050911,WBGene00050911,WBGene00050911,History: N.A.
WBGene00044655,WBGene00044655,WBGene00044655,History: N.A.
WBGene00019589,WBGene00019589,WBGene00019589,"History: Split into K09F6.15(WBGene00271744). History of WBGene00019589: Split into ""WBGene00271744"" on 2017-06-29"
WBGene00021265,WBGene00021265,WBGene00021265,History: N.A.
WBGene00012251,WBGene00012251,WBGene00012251,History: N.A.
WBGene00012305,WBGene00012305,WBGene00012305,History: N.A.
WBGene00016883,WBGene00016883,WBGene00016883,History: N.A.
WBGene00005508,WBGene00005508,WBGene00005508,History: N.A.
WBGene00011485,WBGene00011485,WBGene00011485,History: N.A.
WBGene00013607,WBGene00013607,WBGene00013607,History: N.A.
WBGene00013620,WBGene00013620,WBGene00013620,History: N.A.
WBGene00018105,WBGene00018105,WBGene00018105,"History: Split into F36H5.12(WBGene00206518). History of WBGene00018105: Split into ""WBGene00206518"" on 2011-07-20"
WBGene00005494,WBGene00005494,WBGene00005494,History: N.A.
WBGene00022204,WBGene00022204,WBGene00022204,History: N.A.
WBGene00022524,WBGene00022524,,History: Killed on 2008-09-01; Suppressed on 2012-11-01. Remark: [140610 pad] Gene was missing Acquires_merge Event history data so inferred from Acquires_merge tag....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
WBGene00007725,WBGene00007725,WBGene00007725,History: N.A.
WBGene00014189,WBGene00014189,WBGene00014189,History: N.A.
WBGene00044560,WBGene00044560,WBGene00044560,History: N.A.
WBGene00020116,WBGene00020116,WBGene00020116,"History: Split into R155.5(WBGene00189953). History of WBGene00020116: Split into ""WBGene00189953"" on 2009-04-20"
WBGene00010851,WBGene00010851,WBGene00010851,History: N.A.
WBGene00022691,WBGene00022691,WBGene00022691,History: N.A.
WBGene00021256,WBGene00021256,WBGene00021256,History: N.A.
